MarketID,s_k,p_k,s_0,steel,labor,product
43,0.06880309825519801,36.85,0.8828112750848134,8.55,23.45,b
44,0.05625459696109386,33.53286948486681,0.8649247504587718,6.77,22.08,a
44,0.07882065258013424,34.75286947707147,0.8649247504587718,6.77,22.08,b
45,0.06632954398020066,31.620408892653522,0.8477792513654967,7.04,21.83,a
45,0.08589120465430261,33.60040889006877,0.8477792513654967,7.04,21.83,b
46,0.060286563390166505,30.63445888119355,0.8420182441910642,7.65,21.29,a
46,0.0976951924187694,33.35445887587889,0.8420182441910642,7.65,21.29,b
47,0.029940154793076997,37.6483686112094,0.8951765573791169,6.63,21.0,a
47,0.0748832878278061,35.408368137032795,0.8951765573791169,6.63,21.0,b
48,0.027846023162172898,39.17851669397134,0.887207184125534,7.64,22.83,a
48,0.08494679271229306,35.598516636153846,0.887207184125534,7.64,22.83,b
49,0.04253306332112272,35.67342056358647,0.8704515335906451,6.97,20.66,a
49,0.08701540308823223,36.33342016352229,0.8704515335906451,6.97,20.66,b
50,0.030153609948504783,35.95765959154715,0.883084859157795,7.5,23.99,a
50,0.08676153089370023,36.517659588142834,0.883084859157795,7.5,23.99,b
51,0.04983885711217109,35.91852114048449,0.8651570600833806,6.68,23.18,a
51,0.08500408280444838,34.788521092730356,0.8651570600833806,6.68,23.18,b
52,0.04001769854429973,34.452765653206164,0.8756942579893748,7.39,21.6,a
52,0.0842880434663255,33.94276563457814,0.8756942579893748,7.39,21.6,b
53,0.03425051822416031,36.375623418471534,0.8877042845607283,7.07,22.8,a
53,0.07804519721511137,35.06562340733375,0.8877042845607283,7.07,22.8,b
54,0.04050356383883415,35.258593946456756,0.8754086456413337,9.52,22.85,a
54,0.08408779051983213,35.548593934652054,0.8754086456413337,9.52,22.85,b
55,0.05303792428414401,33.15,0.8587571103503359,9.42,21.61,a
55,0.08820496536552011,36.17,0.8587571103503359,9.42,21.61,b
56,0.05705875879901287,33.66977691810752,0.8668294006524486,8.02,22.64,a
56,0.07611184054853845,35.45977691546666,0.8668294006524486,8.02,22.64,b
57,0.028986719924919163,37.0836254689093,0.8927754966553277,7.55,22.24,a
57,0.07823778341975311,37.033625459322934,0.8927754966553277,7.55,22.24,b
58,0.02600954569711892,38.66791245992359,0.8829544326874342,8.65,21.22,a
58,0.09103602161544691,36.40791239105242,0.8829544326874342,8.65,21.22,b
59,0.0548546465101956,32.28,0.8563091440669235,7.35,21.82,a
59,0.08883620942288092,33.14,0.8563091440669235,7.35,21.82,b
60,0.05470918402466839,33.5499525932597,0.8576625716560127,8.99,20.98,a
60,0.08762824431931893,35.45995258948354,0.8576625716560127,8.99,20.98,b
61,0.04277247390708409,35.18721589957613,0.8884512791468862,9.39,20.33,a
61,0.06877624694602985,36.437215897881046,0.8884512791468862,9.39,20.33,b
62,0.049687542701095884,33.49,0.8761662971680768,8.96,21.29,a
62,0.07414616013082728,35.03,0.8761662971680768,8.96,21.29,b
63,0.025409824034370945,38.842970141725154,0.8944063657317595,7.12,21.69,a
63,0.08018381023386953,36.402969691311746,0.8944063657317595,7.12,21.69,b
64,0.03854667434178553,34.37775189175381,0.8687088125716731,8.07,21.41,a
64,0.09274451308654139,34.557751889475504,0.8687088125716731,8.07,21.41,b
65,0.03371391627489863,36.588134982161144,0.8787650431531219,6.94,24.15,a
65,0.08752104057197956,35.18813497449411,0.8787650431531219,6.94,24.15,b
66,0.04325888303869766,35.99,0.8747747285415824,8.9,22.49,a
66,0.0819663884197199,35.08,0.8747747285415824,8.9,22.49,b
67,0.034827458832384875,35.38594790240993,0.8913499971620729,8.15,21.35,a
67,0.07382254400554226,33.755947900052014,0.8913499971620729,8.15,21.35,b
68,0.03535431178074195,34.45,0.8908790755735552,8.46,24.32,a
68,0.07376661264570285,35.94,0.8908790755735552,8.46,24.32,b
69,0.051377686491575036,33.15819961081129,0.8670886899300679,7.29,22.43,a
69,0.08153362357835699,35.1381996087554,0.8670886899300679,7.29,22.43,b
70,0.06173260813486586,33.17,0.8634793030197079,8.16,23.41,a
70,0.07478808884542626,35.87,0.8634793030197079,8.16,23.41,b
71,0.042291608222127935,34.38,0.8919967679056826,9.52,22.55,a
71,0.06571162387218937,35.5,0.8919967679056826,9.52,22.55,b
72,0.04524553379944219,36.88067202873934,0.8711457826649454,6.93,21.76,a
72,0.08360868353561246,35.40067181653097,0.8711457826649454,6.93,21.76,b
73,0.02935673158835757,36.254050589242844,0.8892910834041905,6.86,22.71,a
73,0.08135218500745195,33.794050587860276,0.8892910834041905,6.86,22.71,b
74,0.06797232747501138,31.49,0.8606154903043257,6.74,23.61,a
74,0.07141218222066296,35.33,0.8606154903043257,6.74,23.61,b
75,0.05112403572738368,34.52782315752391,0.8725010157936011,8.02,20.98,a
75,0.07637494847901533,34.12782315637394,0.8725010157936011,8.02,20.98,b
76,0.05850805124268351,33.75956119833124,0.8556178948682365,7.01,20.99,a
76,0.08587405388908004,34.97956108596819,0.8556178948682365,7.01,20.99,b
77,0.055485271059637,35.58,0.8696168592694673,9.16,20.99,a
77,0.07489786967089569,35.95,0.8696168592694673,9.16,20.99,b
78,0.039254531491003004,34.5891668643934,0.8813594218093653,7.65,21.55,a
78,0.07938604669963172,34.81916685712875,0.8813594218093653,7.65,21.55,b
79,0.045497752327894984,34.78002997631522,0.8645720710448783,4.88,21.68,a
79,0.08993017662722674,33.56002968969326,0.8645720710448783,4.88,21.68,b
80,0.04629636407259797,34.67791826443678,0.8735904127181167,7.07,22.47,a
80,0.08011322320928536,32.68791826361052,0.8735904127181167,7.07,22.47,b
81,0.04007516014752778,34.58,0.8862486854515101,8.68,22.16,a
81,0.07367615440096208,34.61,0.8862486854515101,8.68,22.16,b
82,0.03221426700560388,36.24,0.8740344852955757,8.48,23.09,a
82,0.09375124769882037,36.45,0.8740344852955757,8.48,23.09,b
83,0.05510279227844738,32.41,0.8691787255453028,7.92,21.32,a
83,0.07571848217624977,33.29,0.8691787255453028,7.92,21.32,b
84,0.05787771153921849,32.91,0.8594633224317807,8.87,21.94,a
84,0.08265896602900084,35.17,0.8594633224317807,8.87,21.94,b
85,0.04176300263812588,34.76182465675177,0.8714595296863913,5.62,22.22,a
85,0.08677746767548275,36.93182458104838,0.8714595296863913,5.62,22.22,b
86,0.033452935217408185,34.14,0.8883892177077719,8.21,23.21,a
86,0.07815784707481992,33.53,0.8883892177077719,8.21,23.21,b
87,0.03490761228251645,37.76,0.8729637380868653,7.96,23.23,a
87,0.09212864963061823,34.71,0.8729637380868653,7.96,23.23,b
88,0.04605357450819346,32.91805878320427,0.8755147855886756,6.26,22.32,a
88,0.07843163990313094,33.04805878109643,0.8755147855886756,6.26,22.32,b
89,0.04978527404010382,33.85816968696725,0.870447404213839,9.05,21.99,a
89,0.07976732174605711,36.65816968439035,0.870447404213839,9.05,21.99,b
90,0.03653959662067773,36.53027808681447,0.890116206211557,8.2,21.77,a
90,0.07334419716776533,34.85027798675054,0.890116206211557,8.2,21.77,b
91,0.03698779209415433,36.439545041698615,0.8546557091111846,7.44,22.5,a
91,0.10835649879466103,34.68954499583454,0.8546557091111846,7.44,22.5,b
92,0.03031131802492686,38.222656989011035,0.8983113320043297,9.19,22.77,a
92,0.07137734997074358,35.96265698352238,0.8983113320043297,9.19,22.77,b
93,0.04606107310333938,34.058475033356366,0.8575310278541707,7.58,21.11,a
93,0.09640789904248989,33.81847503129648,0.8575310278541707,7.58,21.11,b
94,0.0805353496639938,29.81453009747955,0.8532025874777633,6.98,22.28,a
94,0.0662620628582429,36.14453009538008,0.8532025874777633,6.98,22.28,b
95,0.03901411566562531,38.7813042596011,0.8904284260510984,6.95,22.96,a
95,0.07055745828327636,35.47130414764811,0.8904284260510984,6.95,22.96,b
96,0.057757242440659114,33.71985934943478,0.8632589379113513,7.72,22.34,a
96,0.07898381964798956,35.66985934608012,0.8632589379113513,7.72,22.34,b
97,0.027606805329017638,35.945812687476,0.8761008511896858,7.88,19.78,a
97,0.09629234348129652,35.615812593359195,0.8761008511896858,7.88,19.78,b
98,0.07325071961613097,31.03,0.8453745690678359,7.54,21.5,a
98,0.08137471131603315,32.14,0.8453745690678359,7.54,21.5,b
99,0.06531980377121874,31.91,0.8540924238733747,8.34,21.12,a
99,0.08058777235540665,34.5,0.8540924238733747,8.34,21.12,b
100,0.04852096361695254,36.55,0.8921058368849087,8.34,23.29,a
100,0.059373199498138636,34.74,0.8921058368849087,8.34,23.29,b
101,0.045115383672571015,35.296639181188326,0.8666248057253148,6.93,21.63,a
101,0.08825981060211419,36.57663915019061,0.8666248057253148,6.93,21.63,b
102,0.04622299248560355,34.23862225292769,0.8713224352147584,6.81,22.13,a
102,0.08245457229963798,34.938622248129306,0.8713224352147584,6.81,22.13,b
103,0.06454986075405501,32.37,0.8599743149251783,7.92,23.12,a
103,0.07547582432076676,35.18,0.8599743149251783,7.92,23.12,b
104,0.04680764165809194,33.74,0.8783179039319302,8.73,22.03,a
104,0.07487445440997786,35.12,0.8783179039319302,8.73,22.03,b
105,0.04738477909014901,34.14,0.8930741976526518,8.96,22.11,a
105,0.05954102325719909,36.25,0.8930741976526518,8.96,22.11,b
106,0.05002631595425896,35.468309154471875,0.8763160587951941,8.18,23.21,a
106,0.07365762525054692,36.35830915049661,0.8763160587951941,8.18,23.21,b
107,0.03907215000028467,35.91803343006255,0.8897376313126839,7.04,22.38,a
107,0.07119021868703147,34.21803341289524,0.8897376313126839,7.04,22.38,b
108,0.04965347436163539,34.41,0.8895303667739597,9.27,22.59,a
108,0.060816158864404904,36.97,0.8895303667739597,9.27,22.59,b
109,0.03860862958949402,34.53,0.8847014921323684,8.17,21.39,a
109,0.07668987827813754,33.16,0.8847014921323684,8.17,21.39,b
110,0.10292493898335167,30.37,0.8218211889855092,7.03,21.95,a
110,0.07525387203113922,35.63,0.8218211889855092,7.03,21.95,b
111,0.05031789434676101,34.06234133209816,0.8682788373484357,6.29,22.09,a
111,0.08140326830480328,36.112341317617854,0.8682788373484357,6.29,22.09,b
112,0.04906791184215168,33.43,0.8740223033252266,7.82,21.2,a
112,0.07690978483262176,35.19,0.8740223033252266,7.82,21.2,b
113,0.05347905843719015,34.9677172581191,0.859132092575678,7.65,20.9,a
113,0.08738884898713181,34.71771721467919,0.859132092575678,7.65,20.9,b
114,0.08314385782671506,29.971282691089453,0.8552125515856454,5.66,22.66,a
114,0.06164359058763961,37.05128269673776,0.8552125515856454,5.66,22.66,b
115,0.053412682613659,34.9,0.8708766072629173,8.93,22.87,a
115,0.07571071012342377,36.67,0.8708766072629173,8.93,22.87,b
116,0.045318657581313516,35.5,0.9001442599947952,9.65,22.57,a
116,0.054537082423891374,39.84,0.9001442599947952,9.65,22.57,b
117,0.06098594687034132,33.09361149361535,0.8477900611186702,7.33,21.26,a
117,0.09122399201098856,34.7236114790782,0.8477900611186702,7.33,21.26,b
118,0.03629153529352793,36.8319669956804,0.8836356587076363,6.97,20.8,a
118,0.08007280599883586,34.50196696194262,0.8836356587076363,6.97,20.8,b
119,0.03637813993296491,36.245672755380056,0.8860865926588897,8.43,21.93,a
119,0.07753526740814544,34.755672752556364,0.8860865926588897,8.43,21.93,b
120,0.04303794251766716,35.267723633840276,0.8733402004330755,7.11,21.99,a
120,0.08362185704925737,34.1277236284215,0.8733402004330755,7.11,21.99,b
121,0.056165722137994416,35.617402687931886,0.8757734302795057,7.49,24.55,a
121,0.0680608475824999,34.11740267653911,0.8757734302795057,7.49,24.55,b
122,0.04542293252371427,34.19858940370531,0.8571925539798997,7.98,22.11,a
122,0.09738451349638594,34.19858940254195,0.8571925539798997,7.98,22.11,b
123,0.029989100433827222,36.673522493778805,0.8858822632857108,7.9,21.64,a
123,0.08412863628046197,34.25352248754218,0.8858822632857108,7.9,21.64,b
124,0.04454013650141322,35.848454302946266,0.8649338861151894,8.03,21.62,a
124,0.09052597738339746,34.77845430117226,0.8649338861151894,8.03,21.62,b
125,0.06217624363580174,32.209798900860896,0.8594001592762524,7.72,22.05,a
125,0.07842359708794587,35.129798897367564,0.8594001592762524,7.72,22.05,b
126,0.08535378081680005,31.421395204844575,0.8374402324730099,8.04,22.53,a
126,0.07720598671019002,34.75139520279881,0.8374402324730099,8.04,22.53,b
127,0.03313906491592798,37.14371176211048,0.8951025451772658,7.3,21.07,a
127,0.07175838990680611,35.40371160924348,0.8951025451772658,7.3,21.07,b
128,0.04077553706921851,34.1,0.917725745515978,10.01,23.52,a
128,0.041498717414803474,39.88,0.917725745515978,10.01,23.52,b
129,0.061227202177079346,31.76,0.8711474319126093,6.37,22.57,a
129,0.0676253659103113,36.05,0.8711474319126093,6.37,22.57,b
130,0.055059929552507124,33.65,0.864056627039199,7.67,21.87,a
130,0.08088344340829377,33.78,0.864056627039199,7.67,21.87,b
131,0.04192076713389199,34.78,0.8785424549853045,9.43,24.05,a
131,0.07953677788080354,35.44,0.8785424549853045,9.43,24.05,b
132,0.048182583145595856,32.44,0.8759518990755282,8.78,21.68,a
132,0.07586551777887598,35.04,0.8759518990755282,8.78,21.68,b
133,0.029430987046026657,37.45603206759262,0.8937421812452377,7.14,22.42,a
133,0.07682683170873558,34.9960320480041,0.8937421812452377,7.14,22.42,b
134,0.019417913896587095,39.056064502758545,0.8888897431462532,9.12,23.7,a
134,0.0916923429571597,34.72606450158197,0.8888897431462532,9.12,23.7,b
135,0.02987190465014682,37.68,0.8827692444878135,9.07,23.05,a
135,0.08735885086203982,36.21,0.8827692444878135,9.07,23.05,b
136,0.02245059672064783,40.15855559141115,0.8790113284747122,6.89,22.64,a
136,0.09853807480463996,36.20855545760752,0.8790113284747122,6.89,22.64,b
137,0.0469363102186634,34.49616140419282,0.863700608532562,6.8,21.57,a
137,0.08936308124877457,35.39616137975609,0.863700608532562,6.8,21.57,b
138,0.05237744105891681,34.49,0.8619353200584906,9.17,22.08,a
138,0.08568723888259255,33.77,0.8619353200584906,9.17,22.08,b
139,0.055789478793951186,32.96,0.8799363596207712,8.89,21.19,a
139,0.06427416158527749,35.42,0.8799363596207712,8.89,21.19,b
140,0.07114075378127539,31.67,0.8655954557277878,7.9,21.8,a
140,0.0632637904909368,35.98,0.8655954557277878,7.9,21.8,b
141,0.04450065766409103,33.49927850083283,0.8619920092844305,9.19,20.89,a
141,0.09350733305147844,34.689278497206544,0.8619920092844305,9.19,20.89,b
142,0.058005662786447615,32.05307425831805,0.8408488829294476,7.83,21.45,a
142,0.10114545428410487,33.92307425280877,0.8408488829294476,7.83,21.45,b
143,0.04396732640194689,37.380095473628984,0.861022000095836,7.3,22.65,a
143,0.0950106735022172,36.34009545396542,0.861022000095836,7.3,22.65,b
144,0.06734579800783637,33.38334673826654,0.8629794860751533,7.55,21.43,a
144,0.06967471591701031,34.76334673197719,0.8629794860751533,7.55,21.43,b
145,0.05207221485335238,34.23361048084156,0.8643500182059045,7.85,21.58,a
145,0.08357776694074319,37.223610466282835,0.8643500182059045,7.85,21.58,b
146,0.057045695611381224,35.77280375065635,0.8459165596874709,5.6,22.16,a
146,0.09703774470114786,34.43280373134182,0.8459165596874709,5.6,22.16,b
147,0.05070285991919122,33.478570531205214,0.869799498859497,7.97,21.0,a
147,0.07949764122131175,34.528570528764575,0.869799498859497,7.97,21.0,b
148,0.07051075285629109,31.92,0.8611182269116,8.97,21.83,a
148,0.06837102023210895,36.72,0.8611182269116,8.97,21.83,b
149,0.046090692909167716,36.11,0.8861060928934397,10.8,21.15,a
149,0.06780321419739269,38.59,0.8861060928934397,10.8,21.15,b
150,0.04216042120414364,34.96979159048158,0.8615876679800775,7.7,21.7,a
150,0.09625191081577887,35.08979157369294,0.8615876679800775,7.7,21.7,b
151,0.054557331975772734,34.02,0.8930643255566098,9.78,21.61,a
151,0.052378342467617515,37.07,0.8930643255566098,9.78,21.61,b
152,0.04167913652700361,34.5,0.8731723785466877,8.51,22.8,a
152,0.08514848492630868,35.73,0.8731723785466877,8.51,22.8,b
153,0.07218477982275359,30.08,0.86412912397875,7.28,21.46,a
153,0.06368609619849645,34.56,0.86412912397875,7.28,21.46,b
154,0.056796332109574216,32.95,0.874050139202168,8.18,22.85,a
154,0.06915352868825772,34.27,0.874050139202168,8.18,22.85,b
155,0.08487554556851958,31.522781878258563,0.839273844442816,7.51,21.26,a
155,0.07585060998866434,32.72278187568399,0.839273844442816,7.51,21.26,b
156,0.04585751569877427,35.49,0.8775152824218436,9.24,23.1,a
156,0.07662720187938213,35.67,0.8775152824218436,9.24,23.1,b
157,0.031272458300579085,35.81877827259914,0.8766520765347564,7.82,21.88,a
157,0.09207546516466449,34.37877825505379,0.8766520765347564,7.82,21.88,b
158,0.03969062052584893,35.3377190093223,0.8540707605335675,8.68,21.84,a
158,0.10623861894058366,35.32771900657979,0.8540707605335675,8.68,21.84,b
159,0.04044935078412758,36.739750059852796,0.8635247469994539,7.67,20.74,a
159,0.09602590221641853,35.60975004022013,0.8635247469994539,7.67,20.74,b
160,0.06138581022693475,32.93,0.8744089329647641,8.12,22.56,a
160,0.0642052568083011,36.24,0.8744089329647641,8.12,22.56,b
161,0.050973090186966094,33.29,0.8742976407335776,9.0,22.39,a
161,0.0747292690794563,35.71,0.8742976407335776,9.0,22.39,b
162,0.03277806674842642,37.21,0.9146045986789365,11.42,22.46,a
162,0.05261733457263703,39.91,0.9146045986789365,11.42,22.46,b
163,0.06932296667630515,33.05580566495492,0.8583098488235061,7.75,22.41,a
163,0.0723671845001888,34.975805656725505,0.8583098488235061,7.75,22.41,b
164,0.04803823006741215,34.560570462165906,0.873038481596352,7.24,19.34,a
164,0.07892328833623583,32.92057041489886,0.873038481596352,7.24,19.34,b
165,0.06999123466186867,31.08,0.8583326569786855,8.26,23.24,a
165,0.07167610835944585,34.71,0.8583326569786855,8.26,23.24,b
166,0.07167141425670885,32.17,0.8431264945282426,8.43,22.12,a
166,0.08520209121504846,33.79,0.8431264945282426,8.43,22.12,b
167,0.07387380613910874,33.4554963249345,0.8514021342295549,7.81,20.25,a
167,0.0747240596313363,35.365496326163964,0.8514021342295549,7.81,20.25,b
168,0.05138520709239543,34.01,0.8764634906869473,7.19,23.71,a
168,0.0721513022206573,36.41,0.8764634906869473,7.19,23.71,b
169,0.028023476205606898,38.13636462462604,0.8750751633542129,9.72,23.14,a
169,0.09690136044018023,35.706364622601676,0.8750751633542129,9.72,23.14,b
170,0.04096767143855443,34.78042553700227,0.8848796199892942,9.1,19.14,a
170,0.07415270857215141,36.1904255171544,0.8848796199892942,9.1,19.14,b
171,0.021634583061707454,40.2109551683108,0.898142175867099,7.68,21.06,a
171,0.0802232410711936,36.42095506531011,0.898142175867099,7.68,21.06,b
172,0.0407812648438498,34.89734815399391,0.8696306806199359,7.37,20.72,a
172,0.08958805453621435,34.6873481487545,0.8696306806199359,7.37,20.72,b
173,0.04904833266801396,33.37088455172096,0.8586448951452936,7.73,20.32,a
173,0.0923067721866924,32.90088454796259,0.8586448951452936,7.73,20.32,b
174,0.056319936655867715,31.68,0.8615562986878713,7.86,23.06,a
174,0.08212376465626088,35.76,0.8615562986878713,7.86,23.06,b
175,0.021819946140462964,39.5719599382873,0.8906578518328954,6.64,22.29,a
175,0.08752220202664163,34.94195978564778,0.8906578518328954,6.64,22.29,b
176,0.05445057925521068,32.60884094832451,0.8744165751926201,7.15,21.6,a
176,0.07113284555216921,35.318840942583144,0.8744165751926201,7.15,21.6,b
177,0.032872208976685566,34.78005171306608,0.8789774027731496,6.31,22.44,a
177,0.08815038825016487,34.44005166006668,0.8789774027731496,6.31,22.44,b
178,0.036007447642870456,35.52095265358121,0.8832650579288999,7.2,21.87,a
178,0.08072749442822964,35.17095262692467,0.8832650579288999,7.2,21.87,b
179,0.04170087025756722,36.2,0.8988758675629982,9.79,22.12,a
179,0.059423262179434666,36.83,0.8988758675629982,9.79,22.12,b
180,0.05892538764207339,31.4,0.870568177354103,8.03,21.58,a
180,0.07050643500382356,36.82,0.870568177354103,8.03,21.58,b
181,0.051727979199438404,34.57672864709231,0.8763922601089258,6.8,20.74,a
181,0.0718797606916358,35.606728582626545,0.8763922601089258,6.8,20.74,b
182,0.04430133233138324,34.89810034761513,0.8680845760382865,7.76,23.06,a
182,0.08761409163033035,35.33810034556122,0.8680845760382865,7.76,23.06,b
183,0.09309039392312492,30.923269431264206,0.8306991960627064,7.05,22.37,a
183,0.07621041001416878,34.02326942978537,0.8306991960627064,7.05,22.37,b
184,0.050033561508195774,33.69,0.8736863251216653,7.5,22.16,a
184,0.0762801133701389,34.08,0.8736863251216653,7.5,22.16,b
185,0.024907350179969198,38.02415082042069,0.8932846195045061,6.73,20.6,a
185,0.08180803031552474,36.49415001567966,0.8932846195045061,6.73,20.6,b
186,0.0515939555504989,32.49435054517597,0.8750493678611971,6.93,22.81,a
186,0.07335667658830394,35.80435052786497,0.8750493678611971,6.93,22.81,b
187,0.0247859359275937,38.154626934261096,0.8925263387029503,8.2,21.44,a
187,0.08268772536945602,35.83462691212566,0.8925263387029503,8.2,21.44,b
188,0.06325784493718913,32.18,0.8780579889985588,8.62,22.95,a
188,0.058684166064252065,36.12,0.8780579889985588,8.62,22.95,b
189,0.03831333839752106,34.53,0.8949786916357116,9.04,23.35,a
189,0.06670796996676731,37.73,0.8949786916357116,9.04,23.35,b
190,0.044010453875434286,35.22898736847132,0.8738787449149698,9.27,21.03,a
190,0.08211080120959606,35.6689873658808,0.8738787449149698,9.27,21.03,b
191,0.03393709534996902,37.183800022925986,0.8702204456503062,6.9,22.35,a
191,0.09584245899972474,34.34379978849163,0.8702204456503062,6.9,22.35,b
192,0.04411536824822595,34.88,0.8710780236754818,8.64,22.35,a
